Time,Time Code,Country Name,Country Code,"GDP per capita, PPP (constant 2011 international $) [NY.GDP.PCAP.PP.KD]","Literacy rate, adult total (% of people ages 15 and above) [SE.ADT.LITR.ZS]",Total natural resources rents (% of GDP) [NY.GDP.TOTL.RT.ZS],"Population, total [SP.POP.TOTL]",Urban population (% of total) [SP.URB.TOTL.IN.ZS],"Life expectancy at birth, total (years) [SP.DYN.LE00.IN]",Lifetime risk of maternal death (%) [SH.MMR.RISK.ZS],"Mortality rate, under-5 (per 1,000 live births) [SH.DYN.MORT]"
2010,YR2010,Afghanistan,AFG,1614.25500126115,..,0.727903283215587,28803167,24.689,61.2354634146342,3.5431435670919,90.2
2010,YR2010,Albania,ALB,9927.11957619658,..,2.06355206829376,2913021,52.163,76.7479024390244,0.0496072945024301,16.6
2010,YR2010,Algeria,DZA,12870.6026985154,..,19.997522747888,36117637,67.526,74.6697804878049,0.43950134057935,27.3
2010,YR2010,American Samoa,ASM,..,..,0,55637,87.594,..,..,..
2010,YR2010,Andorra,AND,..,..,0,84449,87.817,..,..,3.3
2010,YR2010,Angola,AGO,5895.11408790181,..,39.0314457416062,23369131,40.097,58.1411219512195,3.8151284503933,119.4
2010,YR2010,Antigua and Barbuda,ATG,19212.7201307541,..,0,94661,26.239,75.3132926829268,..,10.3
2010,YR2010,Argentina,ARG,18712.0630773436,..,3.13817619530761,41223889,90.966,75.4920243902439,0.145415024369927,14.5
2010,YR2010,Armenia,ARM,6702.84800627941,..,2.99209032217788,2877311,63.58,73.1092926829268,0.0622657611176616,18.1
2010,YR2010,Aruba,ABW,..,96.82264,0.00228741179007636,101669,43.059,74.9106341463415,..,..
2010,YR2010,Australia,AUS,41384.9235523277,..,9.58182220697495,22031750,88.733,81.6951219512195,0.0126174296368835,4.8
2010,YR2010,Austria,AUT,43384.5880101396,..,0.216120111597594,8363404,65.852,80.5804878048781,0.00537818084184961,4.3
2010,YR2010,Azerbaijan,AZE,15950.2574578784,99.77114,30.4655902074112,9054332,53.401,70.9186097560976,0.0681644237892897,39.2
2010,YR2010,"Bahamas, The",BHS,22895.0657376506,..,0.0195222002123309,360832,82.549,74.5969024390244,0.160256763588384,13.8
2010,YR2010,Bahrain,BHR,40570.5356928307,94.55679,4.83211645139003,1240862,88.535,76.1553170731707,0.0367620845185728,8.6
2010,YR2010,Bangladesh,BGD,2442.72888765696,..,1.2086738903886,152149102,30.462,70.2420487804878,0.64349646928125,49.4
2010,YR2010,Barbados,BRB,16457.9159049246,..,0.353703338163156,279569,32.06,74.8488048780488,0.0555685519294063,14.2
2010,YR2010,Belarus,BLR,16235.1714534334,..,1.40663703040682,9490583,74.615,70.4048780487805,0.00781451850657493,5.5
2010,YR2010,Belgium,BEL,41085.9189401366,..,0.0191998043477151,10895586,97.641,80.1829268292683,0.0134397698473588,4.5
2010,YR2010,Belize,BLZ,7875.25594808055,..,5.35256603452255,321608,44.963,69.7620243902439,0.114749092977381,18.8
2010,YR2010,Benin,BEN,1818.77846075906,..,4.68713924062084,9199259,41.854,59.2592682926829,2.3427501236372,111.1
2010,YR2010,Bermuda,BMU,56395.0078003539,..,0,65124,100,79.2885365853658,..,..
2010,YR2010,Bhutan,BTN,6419.67559908811,..,5.15305950984865,727641,34.793,67.7742926829268,0.526939559962854,42.7
2010,YR2010,Bolivia,BOL,5407.47022023569,..,9.61290530060865,9918242,66.426,66.4058048780488,0.869412020467234,46.6
2010,YR2010,Bosnia and Herzegovina,BIH,9720.2776202025,..,2.64496801605492,3722084,39.226,75.7937317073171,0.0167159638403555,6.9
2010,YR2010,Botswana,BWA,13334.1987970857,..,4.93646727109819,2014866,56.235,59.7809268292683,0.4960369056624,52.5
2010,YR2010,Brazil,BRA,14539.0845345652,90.37918,4.45122322030381,196796269,84.335,73.7695609756098,0.125366106811309,19.8
2010,YR2010,British Virgin Islands,VGB,..,..,..,27224,44.645,..,..,..
2010,YR2010,Brunei Darussalam,BRN,80552.8644713138,..,22.766972619551,388662,75.51,76.7541951219512,0.0572189070203679,10.5
2010,YR2010,Bulgaria,BGR,15283.1797819496,..,2.5157070094982,7395599,72.302,73.5121951219512,0.0165270259149641,10.8
2010,YR2010,Burkina Faso,BFA,1423.37770598198,..,14.9275495493892,15605217,25.665,57.0146829268293,2.4920320034704,116.4
2010,YR2010,Burundi,BDI,763.831930213843,..,24.1343217454441,8766930,10.641,54.837,4.78298674217764,93.6
2010,YR2010,Cabo Verde,CPV,5828.24158804338,..,0.488298294710238,502384,61.833,71.7745365853659,0.142992690841025,26.5
2010,YR2010,Cambodia,KHM,2522.92682475402,..,2.69595661546956,14308740,19.81,66.4196829268293,0.630705457203524,44.4
2010,YR2010,Cameroon,CMR,2929.82911281962,71.29051,8.39342055283269,19970495,51.516,55.4011463414634,3.48520850439913,108.3
2010,YR2010,Canada,CAN,40699.3551293841,..,2.7608544271818,34005274,80.937,81.1975609756098,0.0128891691517098,5.6
2010,YR2010,Cayman Islands,CYM,..,..,..,55507,100,..,..,..
2010,YR2010,Central African Republic,CAF,888.007249982842,36.75261,8.56965501999418,4448525,38.828,47.5327073170732,3.94408094109584,148.9
2010,YR2010,Chad,TCD,1925.19511802507,..,24.4981731188238,11887202,21.983,50.2063414634146,7.12030197790908,149.7
2010,YR2010,Channel Islands,CHI,..,..,..,159581,31.054,80.0713414634146,..,..
2010,YR2010,Chile,CHL,19442.0503154635,..,18.1861844351289,16993354,88.586,78.3089268292683,0.0476251553131913,8.7
2010,YR2010,China,CHN,9525.81848339164,95.12448,6.25452674143635,1337705000,49.226,75.2660975609756,0.0532600650185461,15.7
2010,YR2010,Colombia,COL,10900.5052821616,93.37233,6.26613994024701,45918097,75.036,73.2829024390244,0.152028253941455,18.6
2010,YR2010,Comoros,COM,1412.50268663997,..,2.7278650643883,689692,27.918,61.8470731707317,1.8627129669199,88.2
2010,YR2010,"Congo, Dem. Rep.",COD,609.404402826866,..,35.3245081050662,64523263,39.937,56.8701707317073,4.93748574804147,115.6
2010,YR2010,"Congo, Rep.",COG,5186.34478845194,..,49.1368884757658,4386693,63.228,60.4526097560976,2.61675091914732,63.9
2010,YR2010,Costa Rica,CRI,12999.9921931442,..,1.6468530916139,4545280,71.734,78.7326341463415,0.0583828286636828,10.2
2010,YR2010,Cote d'Ivoire,CIV,2690.25800198952,..,6.43512973148971,20401331,50.557,50.4507073170732,3.73343782889393,110.5
2010,YR2010,Croatia,HRV,20118.0859812851,..,0.617489625706863,4417781,57.537,76.4756097560976,0.0156333314313574,5.5
2010,YR2010,Cuba,CUB,..,..,2.9638432930086,11333051,76.597,78.9366585365854,0.0628089945102309,6.1
2010,YR2010,Curacao,CUW,..,..,..,148703,89.905,..,..,..
2010,YR2010,Cyprus,CYP,33941.1380158355,..,0.0606877241543736,1112607,67.551,79.3849512195122,0.011893698765099,3.6
2010,YR2010,Czech Republic,CZE,28352.9493964403,..,0.900667779695603,10474410,73.255,77.4243902439025,0.00701139594556261,3.4
2010,YR2010,Denmark,DNK,43998.4366716285,..,1.30137414113286,5547683,86.795,79.1,0.0125157524892357,4.1
2010,YR2010,Djibouti,DJI,2634.71324617292,..,0.838156180876962,851146,76.996,60.3667317073171,0.894517250494067,76.5
2010,YR2010,Dominica,DMA,10198.2735161701,..,0.0491550311178363,71440,68.094,..,..,22.1
2010,YR2010,Dominican Republic,DOM,11123.5309648031,89.53873,0.192817175006333,9897985,73.752,72.7448780487805,0.219310708727117,34.4
2010,YR2010,Ecuador,ECU,9352.34423681593,91.85404,10.8674129343069,14934690,62.69,75.0333902439024,0.215264713015088,25.1
2010,YR2010,"Egypt, Arab Rep.",EGY,9857.46828190066,72.04785,8.70000760378051,84107606,43.019,70.3414146341464,0.146491915577567,29.1
2010,YR2010,El Salvador,SLV,7299.87131216445,84.49272,0.886071866392796,6164626,64.286,71.6701951219512,0.132550710592382,19.2
2010,YR2010,Equatorial Guinea,GNQ,33723.3658030152,..,32.044444094691,951104,39.223,55.9589512195122,1.84767164575083,110.6
2010,YR2010,Eritrea,ERI,1416.36580154238,..,1.93089796391949,4390840,20.572,62.1758536585366,2.87213818218707,55.2
2010,YR2010,Estonia,EST,22740.9720038708,..,1.07610105569546,1331475,68.094,75.4292682926829,0.0136689150712805,4.5
2010,YR2010,Ethiopia,ETH,1073.82629506882,..,16.1464362840417,87702670,17.319,61.6018536585366,2.57957787658975,80.9
2010,YR2010,Faroe Islands,FRO,..,..,0,48550,40.926,80.6390243902439,..,..
2010,YR2010,Fiji,FJI,7352.08836002372,..,2.9443487933594,859950,51.828,69.3908536585366,0.0959269000985384,24.1
